Part 2a
The sum the total length of all movies: 167446
Part 2b
 Popularity   |      Movie Title
     62       |   Cat Ballou                              
     62       |   Mama's Dirty Girls                      
     62       |   Last Ride of the Dalton Gang, The       
     62       |   Adam's Rib                              
     62       |   Outlaw Country                          
     62       |   Ffolkes                                 
     62       |   Whose Life Is It, Anyway?               
     62       |   Audrey Rose                             
     62       |   Looker                                  
     62       |   Into the Night                          
     62       |   Inauguration of the Pleasure Dome       
     62       |   Peggy Sue Got Married                   
     62       |   Romance                                 
     61       |   A Little Night Music                    
     61       |   Crazy People                            
     61       |   Tender Mercies                          
     61       |   A Fistful of Dollars                    
     61       |   Wild Frontier, The                      
     61       |   One Crazy Summer                        
     61       |   Hawk of Powder River                    
     61       |   Foreign Correspondent                   
     61       |   Fatal Attraction                        
     61       |   Storm                                   
     61       |   Heartbreak Ridge                        
     61       |   Freaks                                  
     61       |   Giant                                   
     61       |   Gremlins 2: The New Batch               
     61       |   Flying Tigers                           
     61       |   Private Benjamin                        
     61       |   Back in the U.S.S.R.                    
     61       |   Death Becomes Her                       
     61       |   Falcon & the Snowman, The               
     60       |   Only Way Home, The                      
     60       |   Alien: resurrection                     
     60       |   A Nous la Liberte                       
     60       |   Ten                                     
     60       |   Crimson Pirate, The                     
     60       |   Funny about Love                        
     60       |   Secret Ceremony                         
     60       |   Throne of Blood                         
     60       |   Yojimbo                                 
     60       |   Beguiled, The                           
     60       |   Cancel My Reservation                   
     60       |   Gary Numan - Berzerker                  
     60       |   Clara's Heart                           
     60       |   After the Fox                           
     60       |   Alfred Hitchcock Presents, Sorcerer's Apprentice
     60       |   Necessary Roughness                     
     60       |   Children's Hour, The                    
     60       |   A Child Is Waiting                      
     60       |   Ladies of the Chorus                    
     60       |   Doors, The                              
     59       |   March or Die                            
     59       |   Reap the Wild Wind                      
     59       |   After School                            
     59       |   Conversation, The                       
     59       |   Sleeper                                 
     59       |   Sound of Music, The                     
     59       |   Rocky Horror Picture Show, The          
     59       |   Gung Ho                                 
     59       |   Cabaret                                 
     59       |   Born to Ride                            
     59       |   Those Daring Young Men in Their Jaunty  
     59       |   J-Men Forever                           
     59       |   Rashomon                                
     59       |   Alien Three                             
     59       |   World According to Garp, The            
     59       |   Police Academy 5: Assignment Miami Beach
     59       |   Witness                                 
     59       |   Seizure                                 
     58       |   From the Life of the Marionettes        
     58       |   Cowboys, The                            
     58       |   Desperate Hours                         
     58       |   Memoirs of an Invisible Man             
     58       |   Diamond Trap, The                       
     58       |   John Wayne Four Pack                    
     58       |   Smiles of a Summer Night                
     58       |   Pope of Greenwich Village               
     58       |   Teen Wolf                               
     58       |   Prisoner of Honor.                      
     57       |   Rich & Strange                          
     57       |   High Plains Drifter                     
     57       |   Lust for Gold                           
     57       |   Heartburn                               
     57       |   Where Eagles Dare                       
     57       |   Until the End of the World              
     57       |   Coogan's Bluff                          
     57       |   A Month in the Country                  
     57       |   Harry & Son                             
     57       |   Dear America, Letters Home from Vietnam 
     57       |   Gilda                                   
     57       |   Painted Veil, The                       
     57       |   Lady in Question                        
     57       |   Cobra                                   
     57       |   Made in Heaven                          
     57       |   Brink of Life                           
     57       |   Bronco Billy                            
     57       |   Voyage in Italy                         
     56       |   Separate but Equal                      
     56       |   Accidental Tourist, The                 
     56       |   Cannibal Women in the Avocado Jungle of Death
     56       |   Psycho                                  
     56       |   Outsiders, The                          
     56       |   Courage                                 
     56       |   Mummy's Revenge, The                    
     56       |   Long John Silver                        
     56       |   Somebody up There Likes Me              
     56       |   Best of Eddie Murphy, Saturday Night Live, The
     55       |   Tightrope                               
     55       |   Scarlet Letter, The                     
     55       |   Dracula's Widow                         
     55       |   Secret Admirer                          
     55       |   Cloak & Dagger                          
     55       |   Chinatown                               
     55       |   Don Juan                                
     55       |   Not Without My Daughter                 
     55       |   Pocket Money                            
     55       |   Deceived                                
     55       |   Man of La Mancha                        
     54       |   Two Nights with Cleo                    
     54       |   White Lightning                         
     54       |   Another Forty-Eight Hours               
     54       |   Mummy's Hand, The                       
     54       |   Ash Wednesday                           
     54       |   Green Glove                             
     54       |   Up the Creek                            
     54       |   Local Hero                              
     54       |   A Coeur Joie, (Head Over Heels)         
     54       |   Les Comperes                            
     54       |   Father of the Bride                     
     54       |   Whoopee Boys, The                       
     54       |   Island of Dr. Moreau, The               
     54       |   Black Orchid, The                       
     54       |   Black Widow                             
     54       |   Deadly Trackers                         
     54       |   Rawhide, Premiere Episode               
     54       |   Flame of Barbary Coast                  
     54       |   America's Music, Blues                  
     54       |   Madonna, Truth or Dare                  
     54       |   Between Friends                         
     54       |   Mosquito Coast, The                     
     54       |   Paris Blues                             
     54       |   Looking for Mr. Goodbar                 
     53       |   On Wings of Eagles                      
     53       |   Complete Dirty Harry, Magnum Force, The 
     53       |   Miles from Home                         
     53       |   To Die Standing                         
     53       |   Protocol                                
     53       |   Rainbow, The                            
     53       |   A New Life                              
     53       |   Honeymoon in Vegas                      
     53       |   See You in the Morning                  
     53       |   High Spirits                            
     53       |   Allegheny Uprising                      
     53       |   Yol                                     
     53       |   Brass Target                            
     53       |   Throwback, The                          
     53       |   Paris Trout                             
     52       |   Father's Little Dividend                
     52       |   Barbarian & the Geisha, The             
     52       |   Heller in Pink Tights                   
     52       |   Dark Command                            
     52       |   Mystery of the Hooded Horsemen          
     52       |   Split Decisions                         
     52       |   Between Two Women                       
     52       |   Blood Feud                              
     52       |   Survivors, The                          
     52       |   Nuts                                    
     52       |   Slightly Scarlet                        
     52       |   Dial M for Murder                       
     52       |   Silkwood                                
     52       |   Nobody's Fool                           
     52       |   Branford Marsalis, Steep                
     51       |   Eddie Murphy Raw                        
     51       |   Beyond the Limit                        
     51       |   Killing, The                            
     51       |   We're No Angels                         
     51       |   Range Feud, The                         
     51       |   A Patch of Blue                         
     51       |   Flight of the Intruder                  
     51       |   Desk Set                                
     51       |   Northwest Passage                       
     51       |   A Shot in the Dark                      
     51       |   Brood, The                              
     51       |   Lindbergh Kidnapping Case, The          
     51       |   Return of Martin Guerre, The            
     51       |   Shirley Valentine                       
     51       |   Lovesick                                
     51       |   Lean on Me                              
     51       |   Bodycount                               
     51       |   Breathless                              
     51       |   Jack Benny Show                         
     50       |   Murder                                  
     50       |   Night Tide                              
     50       |   Wild Bunch, The                         
     50       |   Tequila Sunrise                         
     50       |   Racing with the Moon                    
     50       |   Hombre                                  
     50       |   Rhapsody in August                      
     50       |   Julius Caesar                           
     50       |   Torpedo Run                             
     50       |   Come Back, Little Sheba                 
     50       |   Final Analysis                          
     50       |   Amarcord                                
     50       |   Catch Twenty-Two                        
     50       |   Secret Agent                            
     50       |   Guess Who's Coming to Dinner            
     50       |   Soggy Bottom U. S. A.                   
     50       |   Desert Trail, The                       
     50       |   Surf Nazis Must Die                     
     50       |   Tin Men                                 
     50       |   Big Bust Out, The                       
     50       |   In Too Deep                             
     49       |   PK. & the Kid.                          
     49       |   Spies                                   
     49       |   Autumn Sonata                           
     49       |   Sophia Loren, Her Own Story             
     49       |   Down by Law                             
     49       |   Vagabond                                
     49       |   Cool Hand Luke                          
     49       |   Metropolis                              
     49       |   State of Grace                          
     49       |   Vampire's Kiss                          
     49       |   Triumph of the Spirit                   
     49       |   Seven Minutes in Heaven                 
     49       |   Quackser Fortune Has a Cousin in the Bronx
     49       |   Seems Like Old Times                    
     49       |   Affair in Trinidad                      
     49       |   Hard To Kill                            
     49       |   A Man & a Woman: Twenty Years Later     
     49       |   A Woman's Face                          
     49       |   Industrial Symphony, The Dream of the Broken-Hearted
     49       |   What Comes Around                       
     49       |   John Wayne Collection, Red River, The   
     48       |   Rookie, THe                             
     48       |   Misery                                  
     48       |   Duel                                    
     48       |   Loves of Carmen, The                    
     48       |   Erasure, Live Wild!                     
     48       |   Siesta                                  
     48       |   Track Twenty-Nine                       
     48       |   Big Bands, The                          
     48       |   One Hundred Rifles                      
     48       |   Lucky Texan                             
     48       |   White of the Eye                        
     48       |   Network                                 
     48       |   Fury                                    
     48       |   Pat & Mike                              
     48       |   Buddy System, The                       
     48       |   A Lesson in Love                        
     47       |   Water                                   
     47       |   Trick or Treat                          
     47       |   Chuka                                   
     47       |   Play Misty for Me                       
     47       |   Young Love: Lemon Popsicle Seven        
     47       |   Young Einstein                          
     47       |   Santee                                  
     47       |   Attack of the Killer Tomatoes           
     47       |   Paths of Glory                          
     47       |   Nadine                                  
     47       |   Meridian                                
     47       |   Straight to Hell                        
     47       |   Alrededor de Medianoche                 
     47       |   Instant Karma                           
     46       |   A Man & a Woman                         
     46       |   Foul Play                               
     46       |   Sun Shines Bright, The                  
     46       |   Yentl                                   
     46       |   Paint Your Wagon                        
     46       |   Last Hurrah, The                        
     46       |   What's New Pussycat?                    
     46       |   Fawlty Towers, Gourmet Night, Waldorf Salad & The Kipper & the Corpse
     45       |   How the West Was Won                    
     45       |   Ticket of Leave Man, The                
     45       |   Marbella                                
     45       |   Full Metal Jacket                       
     45       |   Easy Virtue                             
     45       |   Macbeth                                 
     45       |   Conan the Barbarian                     
     45       |   Competition, The                        
     45       |   Pleasure Palace                         
     45       |   Inside Man, The                         
     45       |   Spider's Stratagem                      
     45       |   Instant Justice                         
     45       |   Thirty Seconds over Tokyo               
     45       |   Under the Sun of Satan                  
     45       |   Maurice                                 
     45       |   Pale Rider                              
     45       |   All the President's Men                 
     45       |   Cocoon                                  
     45       |   Back to the Beach                       
     45       |   Case of the Mukkinese Battle Horn, The  
     45       |   House of the Rising Sun                 
     44       |   A View to a Kill                        
     44       |   Rebel Rousers                           
     44       |   Hot Pursuit                             
     44       |   Dawn Rider, The                         
     44       |   Spencer Tracy Legacy, The               
     44       |   Hand, The                               
     44       |   Cimarron                                
     44       |   Darling                                 
     44       |   And Now for Something Completely Different
     44       |   Encounters                              
     44       |   Cool World                              
     44       |   Joe Piscopo Video, The                  
     44       |   Star Wars                               
     44       |   Burglar                                 
     44       |   Doin' Time on Planet Earth              
     44       |   Jane Eyre                               
     44       |   Wings                                   
     43       |   Pretty Woman                            
     43       |   West to Glory                           
     43       |   China Syndrome, The                     
     43       |   Border Feud                             
     43       |   She-Devil                               
     43       |   Power                                   
     43       |   Blood & Guns                            
     43       |   Young & Innocent                        
     43       |   Night Train to Katmandu, THe            
     43       |   Courtship of Eddie's Father, The        
     43       |   Jet Pilot                               
     43       |   Hustler, The                            
     43       |   Cookie                                  
     42       |   Legend                                  
     42       |   Garden of the Finzi-Continis, The       
     42       |   Permanent Record                        
     42       |   Hideaways, The                          
     42       |   Still of the Night                      
     42       |   Center of the Web                       
     42       |   Harvey                                  
     42       |   Wild Strawberries                       
     42       |   Good Father, The                        
     42       |   Notorious                               
     42       |   Souvenir                                
     42       |   Adventures of Sherlock Holmes' Smarter  
     42       |   World's Greatest Lover, The             
     42       |   Burbs, The                              
     42       |   A Guy Named Joe                         
     41       |   Welcome Home, Roxy Carmichael           
     41       |   Sicilian, The                           
     41       |   Desperately Seeking Susan               
     41       |   Hard Choices                            
